ID,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,height_cm,weight_kg,Rarity
1,Bulbasaur,318,45,49,49,65,65,45,1,70,6.9,
2,Ivysaur,405,60,62,63,80,80,60,1,100,13.0,
3,Venusaur,525,80,82,83,100,100,80,1,200,100.0,
4,Charmander,309,39,52,43,60,50,65,1,60,8.5,
5,Charmeleon,405,58,64,58,80,65,80,1,110,19.0,
6,Charizard,534,78,84,78,109,85,100,1,170,90.5,
7,Squirtle,314,44,48,65,50,64,43,1,50,9.0,
8,Wartortle,405,59,63,80,65,80,58,1,100,22.5,
9,Blastoise,530,79,83,100,85,105,78,1,160,85.5,
10,Caterpie,195,45,30,35,20,20,45,1,30,2.9,
11,Metapod,205,50,20,55,25,25,30,1,70,9.9,
12,Butterfree,395,60,45,50,90,80,70,1,110,32.0,
13,Weedle,195,40,35,30,20,20,50,1,30,3.2,
14,Kakuna,205,45,25,50,25,25,35,1,60,10.0,
15,Beedrill,395,65,90,40,45,80,75,1,100,29.5,
16,Pidgey,251,40,45,40,35,35,56,1,30,1.8,
17,Pidgeotto,349,63,60,55,50,50,71,1,110,30.0,
18,Pidgeot,479,83,80,75,70,70,101,1,150,39.5,
19,Rattata,253,30,56,35,25,35,72,1,30,3.5,
20,Raticate,413,55,81,60,50,70,97,1,70,18.5,
21,Spearow,262,40,60,30,31,31,70,1,30,2.0,
22,Fearow,442,65,90,65,61,61,100,1,120,38.0,
23,Ekans,288,35,60,44,40,54,55,1,200,6.9,
24,Arbok,448,60,95,69,65,79,80,1,350,65.0,
25,Pikachu,320,35,55,40,50,50,90,1,40,6.0,
26,Raichu,485,60,90,55,90,80,110,1,80,30.0,
27,Sandshrew,300,50,75,85,20,30,40,1,60,12.0,
28,Sandslash,450,75,100,110,45,55,65,1,100,29.5,
29,Nidoran,275,55,47,52,40,40,41,1,40,7.0,
30,Nidorina,365,70,62,67,55,55,56,1,80,20.0,
31,Nidoqueen,505,90,92,87,75,85,76,1,130,60.0,
32,Nidoran,273,46,57,40,40,40,50,1,50,9.0,
33,Nidorino,365,61,72,57,55,55,65,1,90,19.5,
34,Nidoking,505,81,102,77,85,75,85,1,140,62.0,
35,Clefairy,323,70,45,48,60,65,35,1,60,7.5,
36,Clefable,483,95,70,73,95,90,60,1,130,40.0,
37,Vulpix,299,38,41,40,50,65,65,1,60,9.9,
38,Ninetales,505,73,76,75,81,100,100,1,110,19.9,
39,Jigglypuff,270,115,45,20,45,25,20,1,50,5.5,
40,Wigglytuff,435,140,70,45,85,50,45,1,100,12.0,
41,Zubat,245,40,45,35,30,40,55,1,80,7.5,
42,Golbat,455,75,80,70,65,75,90,1,160,55.0,
43,Oddish,320,45,50,55,75,65,30,1,50,5.4,
44,Gloom,395,60,65,70,85,75,40,1,80,8.6,
45,Vileplume,490,75,80,85,110,90,50,1,120,18.6,
